order_id,customer_id,order_date,segment,acquisition_channel,city,payment_type,order_amount,units,avg_discount,product_count,order_month,order_quarter
39,2492,2024-02-25,growth,social,Hsinchu,card,2853.65,2,0.07500000000000001,2,2,1
40,809,2025-06-28,new,organic,Taichung,cod,1969.8999999999999,2,0.025,2,6,2
41,947,2025-12-23,growth,ads,Taoyuan,card,4968.0,2,0.1,1,12,4
42,1016,2024-11-01,new,partner,Kaohsiung,atm,4321.55,1,0.05,1,11,4
43,1887,2024-01-07,growth,social,Taipei,cod,4196.0,3,0.0,3,1,1
44,913,2025-10-31,new,referral,Taichung,cod,5366.0,3,0.0,2,10,4
45,110,2024-10-16,growth,referral,Kaohsiung,card,1408.0,1,0.0,1,10,4
46,2295,2024-04-21,growth,referral,Taipei,card,5237.5,4,0.06666666666666667,3,4,2
47,2240,2025-05-06,new,social,Taipei,card,14610.2,5,0.0875,4,5,2
49,396,2024-12-19,new,organic,Hsinchu,card,9342.1,3,0.06666666666666667,3,12,4
50,285,2025-02-03,growth,social,Hsinchu,cod,3403.1,2,0.025,2,2,1
51,211,2024-03-11,growth,social,Hsinchu,card,3653.2999999999997,1,0.15,1,3,1
52,2103,2024-03-24,growth,partner,Hsinchu,card,3581.5,1,0.05,1,3,1
53,89,2024-12-05,new,ads,Kaohsiung,card,8661.8,3,0.05,2,12,4
54,489,2024-06-03,growth,ads,Taipei,atm,2770.2000000000003,3,0.1,1,6,2
55,2329,2024-12-25,new,social,Hsinchu,atm,4083.1,1,0.05,1,12,4
57,2127,2024-10-26,vip,organic,Taoyuan,card,11242.0,3,0.025,2,10,4
58,629,2024-06-03,growth,referral,Taichung,atm,7647.1,2,0.07500000000000001,2,6,2
59,687,2024-02-14,new,referral,Kaohsiung,card,365.0,1,0.0,1,2,1
60,2166,2025-04-26,new,social,Kaohsiung,card,2132.0,1,0.0,1,4,2
61,1180,2024-09-08,growth,partner,Taoyuan,card,7896.5,2,0.15,1,9,3
62,1473,2025-01-12,new,social,Tainan,atm,232.04999999999998,1,0.15,1,1,1
63,2350,2025-12-29,new,social,Kaohsiung,card,8585.849999999999,2,0.025,2,12,4
64,899,2024-08-21,new,social,Taipei,card,3493.8,1,0.1,1,8,3
65,991,2024-07-12,growth,ads,Taipei,card,4342.55,2,0.075,2,7,3
66,167,2025-12-29,growth,referral,Taipei,card,3366.0,1,0.15,1,12,4
67,298,2025-03-30,growth,ads,Tainan,atm,2578.0,1,0.0,1,3,1
68,1221,2025-08-23,growth,organic,Taoyuan,card,7951.25,2,0.075,2,8,3
69,1902,2024-04-15,new,ads,Tainan,card,2279.0,1,0.0,1,4,2
71,673,2025-04-15,new,referral,Hsinchu,wallet,810.9,1,0.15,1,4,2
72,248,2024-02-03,vip,partner,Kaohsiung,card,15147.5,5,0.03333333333333333,3,2,1
73,2343,2024-08-05,new,partner,Taipei,card,6444.65,2,0.075,2,8,3
74,2006,2025-01-23,growth,social,Taoyuan,card,659.0,1,0.0,1,1,1
75,927,2024-06-27,new,social,Kaohsiung,card,1847.0,1,0.0,1,6,2
76,2370,2024-04-22,vip,ads,Hsinchu,card,11982.0,4,0.075,2,4,2
77,811,2024-04-17,growth,referral,Hsinchu,atm,3423.7999999999997,2,0.05,2,4,2
78,1650,2025-07-26,growth,ads,Taichung,card,2920.8999999999996,3,0.07500000000000001,2,7,3
79,1013,2024-09-16,growth,referral,Hsinchu,card,4353.8,3,0.07500000000000001,2,9,3
80,2297,2024-05-30,new,referral,Taoyuan,card,2484.0,1,0.1,1,5,2
81,81,2024-02-01,new,social,Tainan,card,2872.0,1,0.0,1,2,1
82,401,2025-04-30,vip,referral,Hsinchu,wallet,5758.9,3,0.05,2,4,2
83,716,2025-08-15,new,ads,Hsinchu,wallet,7090.799999999999,2,0.05,1,8,3
84,1543,2024-01-06,vip,referral,Taoyuan,atm,12387.0,3,0.0,2,1,1
85,360,2025-09-17,growth,referral,Taoyuan,atm,2099.5,1,0.05,1,9,3
86,106,2024-10-29,new,social,Taichung,cod,12165.2,4,0.1,2,10,4
87,1750,2025-11-25,vip,ads,Taichung,wallet,6331.1,2,0.025,2,11,4
88,297,2024-07-31,new,referral,Tainan,atm,1363.3999999999999,1,0.15,1,7,3
89,417,2024-04-30,new,social,Kaohsiung,atm,3939.3,1,0.1,1,4,2
90,948,2025-01-09,new,social,Hsinchu,wallet,1248.3,3,0.05,1,1,1
92,1433,2025-07-17,vip,ads,Taoyuan,card,15867.4,5,0.15,3,7,3
93,2298,2025-10-17,new,ads,Hsinchu,atm,6878.45,2,0.025,2,10,4
94,697,2024-11-08,new,organic,Taoyuan,card,4529.45,2,0.025,2,11,4
95,32,2024-08-01,new,social,Kaohsiung,card,3964.5,1,0.1,1,8,3
96,266,2024-08-21,new,partner,Hsinchu,wallet,4460.4,3,0.049999999999999996,3,8,3
97,62,2025-12-15,growth,social,Taoyuan,card,3284.0,2,0.0,1,12,4
98,1007,2025-11-24,growth,referral,Tainan,card,6199.6,2,0.1,2,11,4
99,849,2024-06-12,growth,social,Taoyuan,wallet,5025.95,4,0.06666666666666667,3,6,2
100,1262,2025-02-20,new,ads,Taichung,cod,1979.8,1,0.05,1,2,1
101,2185,2024-02-04,new,social,Kaohsiung,card,4017.8,2,0.05,2,2,1
102,95,2025-08-15,new,social,Kaohsiung,atm,2376.0,2,0.1,2,8,3
103,150,2025-04-27,vip,social,Tainan,wallet,11843.9,4,0.03333333333333333,3,4,2
104,2370,2025-08-29,vip,ads,Hsinchu,wallet,12524.15,5,0.016666666666666666,3,8,3
105,1702,2025-04-24,new,referral,Taipei,card,5549.4,4,0.08333333333333333,3,4,2
106,1344,2024-08-30,growth,ads,Taipei,card,2872.0,1,0.0,1,8,3
107,715,2024-11-27,growth,ads,Hsinchu,cod,4501.0,2,0.0,2,11,4
108,262,2025-12-22,growth,social,Tainan,cod,3770.0,1,0.0,1,12,4
109,617,2025-05-05,growth,ads,Hsinchu,atm,2519.6499999999996,2,0.025,2,5,2
110,527,2024-05-05,growth,ads,Taichung,card,6971.4,3,0.1,2,5,2
112,1993,2024-06-24,growth,ads,Taichung,atm,3035.35,1,0.15,1,6,2
113,474,2025-07-08,growth,ads,Taipei,card,5786.0,3,0.0,2,7,3
114,64,2024-03-03,growth,ads,Taoyuan,card,2984.85,3,0.016666666666666666,3,3,1
115,648,2024-06-13,new,referral,Taichung,card,8563.15,2,0.025,2,6,2
117,2362,2025-03-26,new,ads,Taipei,atm,1144.0,2,0.0,1,3,1
118,25,2024-11-08,growth,social,Hsinchu,card,9638.5,5,0.049999999999999996,3,11,4
119,1927,2025-12-27,new,ads,Taoyuan,atm,6392.75,3,0.016666666666666666,3,12,4
120,988,2025-08-15,vip,social,Taipei,cod,576.9,1,0.1,1,8,3
121,1360,2024-10-19,growth,ads,Taoyuan,card,2112.8,1,0.2,1,10,4
122,1910,2024-11-18,new,ads,Kaohsiung,atm,2803.4,2,0.05,2,11,4
124,624,2024-08-19,new,ads,Taipei,atm,3728.1,2,0.075,2,8,3
125,2273,2024-09-10,new,social,Hsinchu,card,6998.0,2,0.0,2,9,3
126,2005,2024-08-05,vip,referral,Taoyuan,card,4158.15,1,0.05,1,8,3
127,2106,2024-09-02,new,social,Taipei,cod,389.5,1,0.05,1,9,3
128,961,2024-06-05,new,partner,Taipei,card,4012.8,2,0.05,2,6,2
129,1345,2025-10-28,new,ads,Kaohsiung,card,12099.7,4,0.05,4,10,4
130,1372,2025-09-12,growth,social,Taichung,wallet,3673.6499999999996,1,0.05,1,9,3
131,730,2025-03-05,growth,social,Taoyuan,card,7983.75,2,0.025,2,3,1
132,2465,2025-10-23,new,organic,Taichung,card,2210.0,1,0.0,1,10,4
133,202,2025-11-07,growth,organic,Tainan,atm,2175.5499999999997,2,0.07500000000000001,2,11,4
134,698,2025-05-03,new,social,Tainan,atm,3948.25,1,0.15,1,5,2
135,1231,2024-11-09,growth,referral,Taichung,card,6048.5,2,0.05,2,11,4
136,1177,2025-06-13,new,ads,Tainan,atm,8687.2,4,0.037500000000000006,4,6,2
137,334,2025-07-21,growth,partner,Kaohsiung,atm,5964.5,2,0.075,2,7,3
138,105,2025-10-04,new,referral,Kaohsiung,card,394.2,1,0.1,1,10,4
139,1216,2025-02-16,growth,ads,Kaohsiung,card,9310.85,4,0.016666666666666666,3,2,1
140,2475,2024-10-14,growth,partner,Hsinchu,card,2537.35,2,0.1,2,10,4
141,320,2025-04-09,vip,social,Taichung,card,4453.6,2,0.05,2,4,2
142,2381,2025-08-31,vip,ads,Taichung,card,13021.0,5,0.016666666666666666,3,8,3
143,901,2024-12-17,growth,referral,Taoyuan,atm,8817.3,3,0.03333333333333333,3,12,4
144,285,2024-11-28,growth,social,Hsinchu,card,4242.1,5,0.025,2,11,4
146,65,2024-02-11,growth,social,Taichung,card,1527.0,1,0.0,1,2,1
147,1154,2025-02-27,growth,social,Hsinchu,wallet,9677.2,5,0.06666666666666667,3,2,1
148,700,2025-07-27,new,ads,Taoyuan,atm,1523.8,1,0.05,1,7,3
150,1639,2024-06-29,growth,organic,Hsinchu,atm,3172.2,1,0.15,1,6,2
151,1277,2025-08-15,new,referral,Hsinchu,card,878.4,1,0.1,1,8,3
152,237,2025-04-19,growth,partner,Taipei,atm,3212.8,3,0.1,2,4,2
153,2095,2025-12-02,growth,social,Taoyuan,card,2555.0,1,0.0,1,12,4
154,1136,2025-05-27,vip,referral,Hsinchu,cod,21926.8,7,0.05,4,5,2
155,2162,2025-11-29,vip,partner,Hsinchu,card,6763.0,2,0.0,2,11,4
156,2166,2024-08-06,new,social,Kaohsiung,card,240.54999999999998,1,0.15,1,8,3
157,2053,2024-08-13,growth,referral,Taichung,card,6721.799999999999,2,0.125,2,8,3
158,1,2025-07-26,growth,ads,Kaohsiung,card,844.2,1,0.1,1,7,3
159,636,2025-05-13,growth,referral,Taipei,card,1329.2499999999998,3,0.1,2,5,2
160,918,2024-06-13,growth,referral,Tainan,wallet,1853.6000000000001,2,0.05,2,6,2
161,365,2025-05-14,new,ads,Taipei,card,3486.0,1,0.0,1,5,2
162,1640,2025-07-20,vip,ads,Taichung,atm,11776.1,5,0.037500000000000006,4,7,3
163,917,2025-04-24,vip,social,Taoyuan,card,8810.0,2,0.0,1,4,2
164,142,2024-05-03,new,social,Taoyuan,card,6837.7,2,0.05,2,5,2
165,252,2024-05-09,new,referral,Hsinchu,card,3154.9,2,0.05,2,5,2
166,1787,2025-10-17,new,ads,Kaohsiung,card,12162.65,4,0.09999999999999999,3,10,4
167,712,2024-09-27,vip,social,Taipei,wallet,2377.0,1,0.0,1,9,3
168,68,2024-06-03,new,ads,Kaohsiung,wallet,4412.75,1,0.05,1,6,2
169,202,2024-12-18,growth,organic,Tainan,atm,3960.0,1,0.0,1,12,4
170,127,2024-04-21,growth,ads,Taoyuan,card,3687.8999999999996,1,0.05,1,4,2
171,1081,2025-06-17,vip,social,Kaohsiung,cod,21204.6,7,0.125,4,6,2
172,1093,2025-01-23,new,ads,Tainan,card,3486.0,1,0.0,1,1,1
173,1291,2025-05-01,vip,organic,Taichung,atm,7391.25,3,0.1,2,5,2
174,168,2025-04-07,new,social,Hsinchu,atm,11861.5,4,0.05,2,4,2
175,761,2025-01-11,new,referral,Taoyuan,card,13320.0,4,0.0,3,1,1
176,88,2024-03-16,new,ads,Taichung,wallet,4799.7,2,0.1,2,3,1
177,2438,2025-01-11,new,organic,Taichung,wallet,273.0,1,0.0,1,1,1
178,819,2025-12-11,new,organic,Taichung,card,12491.1,4,0.016666666666666666,3,12,4
179,1202,2024-03-12,growth,ads,Tainan,card,4298.0,1,0.0,1,3,1
180,337,2024-06-30,vip,referral,Kaohsiung,atm,8703.699999999999,3,0.07500000000000001,2,6,2
181,776,2025-10-25,new,ads,Tainan,card,3876.0,1,0.15,1,10,4
182,2402,2024-02-02,new,referral,Taoyuan,card,8622.0,3,0.1,2,2,1
184,1914,2025-10-04,new,partner,Hsinchu,card,2555.0,1,0.0,1,10,4
185,903,2025-05-25,vip,social,Taoyuan,atm,7609.0,4,0.13333333333333333,3,5,2
186,1077,2024-07-13,new,partner,Taoyuan,cod,2758.8,3,0.05,2,7,3
187,2070,2025-02-05,new,partner,Taipei,card,9129.5,2,0.05,1,2,1
188,1626,2025-02-14,new,ads,Taichung,card,9608.849999999999,4,0.07500000000000001,2,2,1
189,408,2025-07-08,vip,social,Hsinchu,atm,8183.7,3,0.1,1,7,3
190,838,2024-11-28,vip,ads,Kaohsiung,card,6293.9,3,0.1,2,11,4
191,1002,2024-11-05,new,partner,Hsinchu,cod,1604.0,1,0.0,1,11,4
194,1846,2024-03-31,growth,social,Kaohsiung,atm,11896.0,4,0.0,3,3,1
195,2174,2025-07-02,new,ads,Taipei,card,3770.0,1,0.0,1,7,3
196,773,2024-06-18,new,referral,Taipei,card,2244.85,1,0.15,1,6,2
197,1735,2025-03-18,new,referral,Taoyuan,atm,2814.0,2,0.025,2,3,1
198,1335,2025-08-06,vip,ads,Tainan,wallet,3968.0,3,0.0,3,8,3
199,1260,2025-04-13,new,social,Taichung,atm,6622.75,2,0.025,2,4,2
200,1685,2025-12-21,new,ads,Tainan,wallet,9843.3,5,0.10000000000000002,3,12,4
201,2335,2025-10-24,vip,organic,Tainan,card,20442.7,7,0.0625,4,10,4
202,2238,2025-08-27,new,referral,Kaohsiung,wallet,6036.35,2,0.07500000000000001,2,8,3
203,2402,2025-08-25,new,referral,Taoyuan,card,5110.0,2,0.0,1,8,3
204,1794,2025-02-14,new,ads,Taipei,atm,8873.0,2,0.05,2,2,1
205,2450,2025-08-29,growth,referral,Taoyuan,card,5811.6,3,0.08333333333333333,3,8,3
206,302,2024-01-08,growth,ads,Taipei,card,4351.95,3,0.05,1,1,1
207,1925,2024-06-23,growth,ads,Taipei,wallet,4032.75,2,0.05,2,6,2
208,92,2024-08-23,new,referral,Tainan,wallet,5110.0,2,0.0,1,8,3
209,215,2024-11-18,growth,social,Taipei,atm,7677.5,5,0.06666666666666667,3,11,4
210,1931,2025-03-24,growth,ads,Taoyuan,card,5399.299999999999,3,0.075,2,3,1
211,17,2024-09-06,growth,social,Taichung,atm,10665.8,4,0.03333333333333333,3,9,3
212,148,2024-10-16,vip,referral,Tainan,wallet,25941.85,8,0.06666666666666667,3,10,4
214,1156,2025-06-15,vip,social,Taichung,card,22970.0,5,0.0,2,6,2
215,2130,2024-09-08,new,referral,Hsinchu,wallet,7240.8,2,0.05,2,9,3
216,1553,2025-01-01,new,referral,Hsinchu,card,566.0,2,0.0,1,1,1
217,2109,2024-07-29,new,organic,Tainan,card,4898.0,2,0.0,2,7,3
218,865,2025-04-14,vip,organic,Taichung,cod,14157.0,5,0.08333333333333333,2,4,2
219,97,2024-03-16,new,ads,Hsinchu,atm,2014.9499999999998,1,0.05,1,3,1
220,695,2024-12-30,vip,social,Kaohsiung,atm,13761.1,7,0.03333333333333333,3,12,4
221,1502,2025-11-17,growth,ads,Taipei,cod,6784.9,2,0.05,1,11,4
223,1959,2024-07-03,vip,partner,Tainan,card,7732.75,3,0.125,2,7,3
224,2046,2025-11-06,new,ads,Taipei,cod,5666.2,3,0.03333333333333333,3,11,4
225,2052,2025-06-14,new,ads,Kaohsiung,card,3025.7999999999997,2,0.07500000000000001,2,6,2
226,520,2024-01-04,growth,referral,Taoyuan,atm,11261.0,4,0.03333333333333333,3,1,1
227,1625,2025-04-24,new,social,Kaohsiung,wallet,1951.1,3,0.125,2,4,2
228,1227,2025-04-01,new,referral,Kaohsiung,atm,175.95,1,0.15,1,4,2
229,594,2024-07-30,new,social,Taipei,atm,1754.6499999999999,1,0.05,1,7,3
230,2224,2025-05-30,growth,social,Tainan,wallet,4511.9,6,0.05,4,5,2
231,1392,2024-12-25,new,social,Taoyuan,card,4015.7,2,0.05,2,12,4
232,2180,2025-01-13,vip,social,Taoyuan,wallet,4558.0,2,0.0,1,1,1
233,1345,2024-02-27,new,ads,Kaohsiung,atm,6621.05,2,0.07500000000000001,2,2,1
234,404,2025-08-10,new,referral,Taichung,cod,1320.8,2,0.075,2,8,3
235,428,2025-01-10,new,referral,Taichung,atm,365.0,1,0.0,1,1,1
236,1783,2024-04-04,new,social,Tainan,wallet,1918.8,1,0.1,1,4,2
237,1234,2025-11-12,new,referral,Taipei,card,2298.4,3,0.03333333333333333,3,11,4
238,2356,2024-12-05,new,ads,Taichung,wallet,1313.6000000000001,1,0.2,1,12,4
239,485,2025-06-26,vip,ads,Kaohsiung,atm,16354.7,6,0.075,4,6,2
240,2084,2024-09-29,new,referral,Taoyuan,atm,7788.65,4,0.06666666666666667,3,9,3
241,1443,2025-02-14,vip,ads,Taoyuan,card,12703.6,3,0.1,2,2,1
242,2025,2024-01-20,growth,partner,Taoyuan,wallet,2052.0,2,0.0,1,1,1
243,160,2024-05-24,new,social,Taipei,wallet,4549.0,1,0.0,1,5,2
244,236,2025-11-06,vip,ads,Taichung,card,14315.5,4,0.07500000000000001,2,11,4
245,1681,2024-10-11,new,ads,Tainan,atm,7866.0,3,0.05,1,10,4
246,431,2025-08-18,growth,referral,Taipei,wallet,3247.75,4,0.03333333333333333,3,8,3
247,319,2025-04-18,new,ads,Taoyuan,card,641.0,1,0.0,1,4,2
248,2005,2025-06-20,vip,referral,Taoyuan,card,16732.4,5,0.05000000000000001,3,6,2
249,72,2025-11-05,growth,referral,Kaohsiung,atm,1363.3999999999999,1,0.15,1,11,4
250,340,2024-06-10,vip,social,Taoyuan,atm,11388.0,3,0.0,2,6,2
251,619,2024-05-26,new,social,Kaohsiung,card,6542.5,2,0.05,2,5,2
252,1248,2025-07-31,vip,referral,Tainan,cod,11645.3,4,0.025,2,7,3
254,695,2025-04-04,vip,social,Kaohsiung,card,7813.6,3,0.125,2,4,2
255,1532,2025-02-23,new,referral,Kaohsiung,wallet,876.0,2,0.0,1,2,1
256,34,2024-05-23,vip,social,Tainan,card,18025.699999999997,4,0.025,2,5,2
257,2191,2025-12-26,new,referral,Taipei,card,4168.0,2,0.0,1,12,4
258,1953,2024-12-25,growth,social,Hsinchu,card,8933.4,2,0.1,1,12,4
259,60,2024-07-09,new,organic,Tainan,atm,797.3,1,0.15,1,7,3
260,2448,2025-04-01,new,social,Kaohsiung,wallet,5928.0,2,0.0,2,4,2
261,2427,2024-08-16,growth,social,Taoyuan,cod,4139.55,2,0.025,2,8,3
262,330,2025-11-26,new,partner,Hsinchu,atm,4564.75,1,0.05,1,11,4
264,739,2024-10-27,growth,partner,Taipei,card,7665.0,3,0.0,1,10,4
265,1357,2025-08-22,new,referral,Kaohsiung,card,111.60000000000001,1,0.1,1,8,3
266,1252,2024-09-24,new,ads,Taoyuan,atm,1847.0,1,0.0,1,9,3
267,1931,2024-12-06,growth,ads,Taoyuan,card,20498.949999999997,6,0.0625,4,12,4
268,891,2025-05-25,new,ads,Kaohsiung,atm,4346.6,3,0.125,2,5,2
269,1401,2025-05-26,vip,ads,Tainan,card,5881.1,4,0.08333333333333333,3,5,2
270,1059,2024-11-04,new,social,Taipei,card,3393.0,1,0.1,1,11,4
271,897,2024-01-14,new,social,Hsinchu,wallet,2728.4,1,0.05,1,1,1
272,1136,2025-10-27,vip,referral,Hsinchu,card,19271.699999999997,5,0.07500000000000001,2,10,4
273,1601,2025-09-23,new,social,Taoyuan,card,7258.65,3,0.05000000000000001,3,9,3
274,352,2025-08-31,new,referral,Tainan,atm,3665.9,2,0.05,2,8,3
275,2184,2024-04-18,new,ads,Kaohsiung,card,7920.0,2,0.0,1,4,2
276,219,2024-10-10,growth,ads,Taoyuan,card,2753.35,2,0.1,2,10,4
277,1348,2025-07-05,new,social,Taichung,atm,1299.6,1,0.05,1,7,3
278,34,2024-01-15,vip,social,Tainan,wallet,12421.3,6,0.0625,4,1,1
279,1802,2025-11-13,new,ads,Kaohsiung,card,15333.0,4,0.0,2,11,4
280,812,2025-01-30,growth,ads,Kaohsiung,card,13116.5,6,0.10000000000000002,3,1,1
281,1898,2025-09-22,vip,referral,Tainan,card,5154.35,2,0.075,2,9,3
283,419,2025-05-28,vip,ads,Kaohsiung,card,2884.1499999999996,2,0.07500000000000001,2,5,2
284,56,2024-05-10,vip,referral,Hsinchu,atm,18224.25,6,0.08333333333333333,3,5,2
285,2077,2025-09-19,vip,social,Taichung,card,7275.049999999999,3,0.025,2,9,3
287,608,2025-01-22,new,ads,Taichung,cod,6349.449999999999,2,0.1,2,1,1
288,2118,2024-11-23,vip,ads,Hsinchu,wallet,10118.0,3,0.0,2,11,4
289,2032,2025-12-17,vip,social,Hsinchu,atm,7173.0,2,0.0,2,12,4
290,149,2024-09-23,vip,organic,Taoyuan,wallet,11721.1,4,0.075,2,9,3
291,610,2024-05-20,vip,ads,Kaohsiung,card,12250.0,4,0.0,3,5,2
292,1396,2025-10-21,new,organic,Hsinchu,card,567.0,3,0.0,1,10,4
293,1113,2025-05-18,growth,partner,Taoyuan,card,2578.0,1,0.0,1,5,2
294,202,2025-01-04,growth,organic,Tainan,card,4401.6,4,0.025,2,1,1
295,1905,2025-02-10,growth,social,Kaohsiung,atm,2816.0,2,0.0,1,2,1
296,1854,2025-10-13,new,organic,Hsinchu,card,2356.0,2,0.0,2,10,4
297,1354,2024-09-20,vip,social,Taoyuan,card,7904.45,5,0.016666666666666666,3,9,3
298,2061,2025-10-15,new,partner,Taichung,wallet,7418.45,3,0.049999999999999996,3,10,4
299,1847,2024-02-08,growth,ads,Hsinchu,wallet,3489.0,2,0.0,2,2,1
300,516,2024-04-23,growth,partner,Hsinchu,card,11181.8,4,0.06666666666666667,3,4,2
301,1784,2025-03-23,new,ads,Taoyuan,wallet,543.4,1,0.05,1,3,1
302,1564,2024-11-29,new,partner,Tainan,card,9116.8,3,0.075,2,11,4
303,1160,2025-04-17,vip,ads,Taipei,card,16503.350000000002,7,0.1,4,4,2
304,151,2025-12-05,new,referral,Kaohsiung,card,5315.3,3,0.03333333333333333,3,12,4
305,213,2024-06-30,new,social,Taipei,card,111.35,1,0.15,1,6,2
307,2256,2025-02-09,new,partner,Taichung,card,3571.0,1,0.0,1,2,1
308,676,2024-08-11,growth,social,Tainan,card,3488.4,3,0.15,1,8,3
309,1395,2024-07-21,vip,ads,Taoyuan,card,8475.1,4,0.08333333333333333,3,7,3
310,1719,2024-06-23,new,ads,Kaohsiung,wallet,3673.6499999999996,1,0.05,1,6,2
311,2073,2024-08-29,growth,social,Taipei,wallet,951.6999999999999,3,0.07500000000000001,2,8,3
313,112,2024-05-04,vip,ads,Taoyuan,card,14906.7,5,0.10000000000000002,2,5,2
314,1229,2025-10-04,growth,partner,Hsinchu,card,4278.6,2,0.1,1,10,4
315,2089,2024-12-07,vip,referral,Kaohsiung,cod,12868.0,3,0.0,2,12,4
316,2049,2024-11-16,growth,partner,Taoyuan,atm,7815.1,2,0.025,2,11,4
317,2179,2024-01-12,growth,organic,Taichung,atm,8105.0,3,0.0,2,1,1
318,743,2024-01-02,growth,referral,Taichung,wallet,4134.3,2,0.05,2,1,1
319,2016,2024-04-06,growth,organic,Hsinchu,wallet,2165.0499999999997,1,0.05,1,4,2
320,1509,2024-10-10,vip,ads,Kaohsiung,wallet,18923.65,5,0.037500000000000006,4,10,4
321,1047,2025-12-02,new,ads,Taichung,atm,1161.0,2,0.0,2,12,4
323,1456,2024-12-08,vip,social,Tainan,card,14785.2,4,0.075,2,12,4
324,836,2024-06-13,new,social,Taichung,card,772.4,3,0.1,2,6,2
325,1507,2024-05-23,new,ads,Hsinchu,atm,6145.0,2,0.0,2,5,2
326,837,2025-04-04,new,social,Kaohsiung,atm,1094.4,1,0.2,1,4,2
327,51,2025-05-23,new,partner,Tainan,card,3939.3,1,0.1,1,5,2
328,1941,2024-06-19,new,ads,Tainan,card,4735.9,2,0.05,2,6,2
329,1258,2024-01-29,growth,partner,Taichung,atm,5282.0,2,0.0,1,1,1
330,1577,2024-12-04,new,referral,Taoyuan,card,12338.8,3,0.025,2,12,4
331,556,2025-12-14,vip,social,Taichung,cod,1782.1999999999998,2,0.05,1,12,4
332,2237,2024-10-26,new,ads,Tainan,card,14190.4,5,0.05,4,10,4
333,991,2025-05-12,growth,ads,Taipei,card,15318.1,5,0.049999999999999996,3,5,2
335,2495,2024-01-25,growth,referral,Hsinchu,card,1876.0,2,0.0,1,1,1
336,1078,2024-07-16,growth,referral,Taipei,atm,2641.0,1,0.0,1,7,3
337,862,2024-05-26,new,social,Taichung,card,6998.0,5,0.0,2,5,2
338,1761,2025-12-23,new,ads,Tainan,card,7580.0,3,0.125,2,12,4
